sent_id,source,target,sentence
346,Pakistan,Russia,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,Israel,Russia,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,France,India,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,France,Pakistan,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,France,Israel,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,India,Pakistan,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,India,Israel,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
346,Israel,Pakistan,"Eventually, nine nations would overtly develop nuclear weapons, and still maintain stockpiles today: the United States , the Soviet Union (and later Russia would inherit these), the United Kingdom , France , China , India , Pakistan , Israel and North Korea . ["
347,Israel,South Africa,"159 ] South Africa developed six crude weapons in the 1980s (which it later dismantled), [ 160 ] and Israel almost certainly developed nuclear weapons though it never confirmed nor denied it. ["
348,Iran,Libya,"161 ] The creation of the Nuclear Non-proliferation Treaty in 1968 was an attempt to curtail such proliferation, [ 162 ] but a number of countries developed nuclear weapons since it was signed (and many did not sign it), and several other countries, including Libya and Iran were suspected of having clandestine nuclear weapons programs. ["
353,France,Germany,"Germany, chief instigator of the war, was placed under joint military occupation by the United States, Great Britain, France, and the Soviet Union."
370,India,Pakistan,"This was achieved in 1947 with the end of British rule in India and the Partition of the territory into modern-day India and Pakistan , which would later also further divide, leading to the creation of the People's Republic of Bangladesh in 1971. ["
372,Cambodia,Laos,"177 ] In French Indochina , armed insurrections forced the French out in the early 1950s, leading to the formation of Laos , Cambodia and Vietnam . ["
372,Laos,Vietnam,"177 ] In French Indochina , armed insurrections forced the French out in the early 1950s, leading to the formation of Laos , Cambodia and Vietnam . ["
372,Cambodia,Vietnam,"177 ] In French Indochina , armed insurrections forced the French out in the early 1950s, leading to the formation of Laos , Cambodia and Vietnam . ["
373,Ghana,Kenya,"178 ] In Africa, nationalists such as Jomo Kenyatta of Kenya and Kwame Nkrumah of Ghana led their respective nations to independence from foreign rule. ["
386,Estonia,Latvia,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Latvia,Lithuania,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Finland,Latvia,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Latvia,Romania,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Estonia,Lithuania,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Estonia,Finland,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Estonia,Romania,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Finland,Lithuania,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Lithuania,Romania,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
386,Finland,Romania,"Eastern Poland ( incorporated into the Byelorussian SSR and the Ukrainian SSR ), [ 189 ] Latvia (which became the Latvian SSR ), Estonia (which became the Estonian SSR ), Lithuania ( which became the Lithuanian SSR ), [ 190 ] part of eastern Finland (which became the Karelo-Finnish SSR ) [ 191 ] and eastern Romania (part of which became the Moldavian SSR ) [ 192 ] were now wholly part of Soviet Union."
387,Albania,Bulgaria,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Albania,Poland,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Albania,Romania,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Albania,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Bulgaria,Poland,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Bulgaria,Romania,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Bulgaria,Hungary,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Poland,Romania,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Hungary,Poland,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
387,Hungary,Romania,"Furthermore, between 1945 and 1949, Yugoslavia , Albania , Bulgaria , Poland , Romania , Czechoslovakia , Hungary and East Germany saw communist regimes coming to power and their transformation into People's Republics . ["
389,Cuba,Mongolia,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia , China, North Korea , Cuba and Vietnam . ["
389,Mongolia,Vietnam,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia , China, North Korea , Cuba and Vietnam . ["
389,Cuba,Vietnam,"Outside of Europe, countries that would see the rise of communism and would ally themselves to the communist bloc include Mongolia , China, North Korea , Cuba and Vietnam . ["
397,Australia,Canada,"200 ] General Douglas MacArthur led troops from the United States, Canada, Australia, Great Britain, and other countries in repulsing the Northern invasion."
427,Japan,Russia,"226 ] [ 227 ] In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada. ["
427,Canada,Russia,"226 ] [ 227 ] In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada. ["
427,Canada,Japan,"226 ] [ 227 ] In the 1990s, work on the International Space Station began, and by the end of the century, while still incomplete, it was in continual use by astronauts from the United States, Europe, Russia, Japan, and Canada. ["
686,Finland,Germany,"^ ""Why Finland allied itself with Nazi Germany | Letter"" ."
697,Germany,Norway,"^ ""Germany's Invasion of Denmark and Norway""."
920,Italy,Japan,"^ ""The Avalon Project: Summary of the Three-Power Pact Between Germany, Italy, and Japan, Signed at Berlin, September 27, 1940"" ."
1291,Romania,Russia,"The Moldovans: Romania, Russia, and the Politics of Culture ."
